,osmid,highway,geometry,lon,lat
0,1234550787,,POINT (73.3291806 54.9359039),73.3291806,54.9359039
1,288473100,,POINT (73.4080282 55.0211727),73.4080282,55.0211727
2,288473104,traffic_signals,POINT (73.4174848 55.0238634),73.4174848,55.0238634
3,2953936913,,POINT (73.39725110000001 54.9458275),73.3972511,54.9458275
4,3793731605,,POINT (73.26084299999999 54.9755543),73.260843,54.9755543
5,410910753,,POINT (73.4135272 54.9335432),73.4135272,54.9335432
6,288473124,,POINT (73.4198667 55.0329491),73.4198667,55.0329491
7,1403289639,,POINT (73.3064286 55.051339),73.3064286,55.051339
8,1152663594,,POINT (73.3553575 55.0031065),73.3553575,55.0031065
9,3461480492,,POINT (73.4002241 54.9246085),73.4002241,54.9246085
10,4120412206,,POINT (73.4203763 54.9377247),73.4203763,54.9377247
11,3056762927,,POINT (73.4280193 54.9396396),73.4280193,54.9396396
12,353845294,,POINT (73.42174489999999 54.8877577),73.4217449,54.8877577
13,1237008437,,POINT (73.3836304 54.9685046),73.3836304,54.9685046
14,210321469,,POINT (73.3441077 54.9677123),73.3441077,54.9677123
15,210321475,,POINT (73.3459477 54.9646317),73.3459477,54.9646317
16,3907633223,,POINT (73.3418192 55.0265829),73.3418192,55.0265829
17,210321480,,POINT (73.3478449 54.962098),73.3478449,54.962098
18,353845319,,POINT (73.4122673 54.8550595),73.4122673,54.8550595
19,210321482,,POINT (73.348556 54.9619148),73.348556,54.9619148
20,1223934028,,POINT (73.2849813 54.9299183),73.2849813,54.9299183
21,210321485,,POINT (73.35001629999999 54.9606509),73.3500163,54.9606509
22,6627590222,,POINT (73.2994211 54.9966665),73.2994211,54.9966665
23,1124761682,,POINT (73.5877813 54.9653967),73.5877813,54.9653967
24,2291368021,,POINT (73.365077 55.0107977),73.365077,55.0107977
25,1694195984,,POINT (73.280879 55.0637306),73.280879,55.0637306
26,2841116773,,POINT (73.4587093 54.9117164),73.4587093,54.9117164
27,1223934056,,POINT (73.3207299 54.9174339),73.3207299,54.9174339
28,1223934057,,POINT (73.2044953 54.9422604),73.2044953,54.9422604
29,1735508074,,POINT (73.2371167 54.9438175),73.2371167,54.9438175
30,410992752,,POINT (73.4148977 54.9912175),73.4148977,54.9912175
31,2470705594,,POINT (73.33450929999999 54.9123343),73.3345093,54.9123343
32,410992754,,POINT (73.4154965 54.9878207),73.4154965,54.9878207
33,410992757,,POINT (73.4158079 54.9858739),73.4158079,54.9858739
34,621772921,,POINT (73.2685381 54.9510155),73.2685381,54.9510155
35,1223934074,,POINT (73.3175377 54.9126009),73.3175377,54.9126009
36,1223934082,,POINT (73.3120639 54.9097336),73.3120639,54.9097336
37,2216247429,,POINT (73.3836865 55.0004189),73.3836865,55.0004189
38,2216247432,,POINT (73.3814311 55.0012059),73.3814311,55.0012059
39,1223934098,,POINT (73.319242 54.9167866),73.319242,54.9167866
40,1223934101,,POINT (73.20733610000001 54.9453142),73.2073361,54.9453142
41,1013022870,,POINT (73.4192417 54.9249223),73.4192417,54.9249223
42,6226493613,,POINT (73.2841657 54.977422),73.2841657,54.977422
43,411025582,,POINT (73.4243068 54.9780963),73.4243068,54.9780963
44,411025584,,POINT (73.4239743 54.9805219),73.4239743,54.9805219
45,1013022897,,POINT (73.42488350000001 54.9470625),73.4248835,54.9470625
46,411025586,,POINT (73.4234344 54.9841165),73.4234344,54.9841165
47,411025587,,POINT (73.42309040000001 54.986269),73.4230904,54.986269
48,411025589,,POINT (73.42281250000001 54.9882196),73.4228125,54.9882196
49,411025590,,POINT (73.4226585 54.9896749),73.4226585,54.9896749
50,411025592,,POINT (73.4224222 54.9916714),73.4224222,54.9916714
51,411025593,,POINT (73.4221314 54.9934531),73.4221314,54.9934531
52,766247103,,POINT (73.4726501 54.9587369),73.4726501,54.9587369
53,5121392832,,POINT (73.33900680000001 54.905581),73.3390068,54.905581
54,1090748615,,POINT (73.4908348 55.0039627),73.4908348,55.0039627
55,7369785549,,POINT (73.4437262 54.9655216),73.4437262,54.9655216
56,3562684622,,POINT (73.2580658 55.0324046),73.2580658,55.0324046
57,3907633359,,POINT (73.3397052 55.0274277),73.3397052,55.0274277
58,1237008591,,POINT (73.315271 54.9415648),73.315271,54.9415648
59,2210889937,,POINT (73.377978 54.936058),73.377978,54.936058
60,1223934158,,POINT (73.3162288 54.9162066),73.3162288,54.9162066
61,1223934164,,POINT (73.32009960000001 54.9152233),73.3200996,54.9152233
62,1223934165,,POINT (73.16803109999999 54.9459062),73.1680311,54.9459062
63,4450615511,,POINT (73.4118273 54.9818886),73.4118273,54.9818886
64,3907633383,,POINT (73.3389919 55.0276147),73.3389919,55.0276147
65,688488684,,POINT (73.37647579999999 54.9870727),73.3764758,54.9870727
66,1103200495,,POINT (73.48502139999999 54.9151998),73.4850214,54.9151998
67,410583284,,POINT (73.4225143 54.9385239),73.4225143,54.9385239
68,410583285,,POINT (73.4200933 54.937757),73.4200933,54.937757
69,5723996404,,POINT (73.2243876 55.0771934),73.2243876,55.0771934
70,5723996405,,POINT (73.2154024 55.0748551),73.2154024,55.0748551
71,2884714743,,POINT (73.403103 55.0028153),73.403103,55.0028153
72,807633146,,POINT (73.33805580000001 54.9312575),73.3380558,54.9312575
73,1887748353,,POINT (73.28874930000001 54.9338399),73.2887493,54.9338399
74,1013022979,,POINT (73.4262236 54.947966),73.4262236,54.947966
75,5636548698,,POINT (73.5956667 54.9692028),73.5956667,54.9692028
76,688488710,,POINT (73.3747918 54.9860785),73.3747918,54.9860785
77,4189290760,,POINT (73.389121 54.9382796),73.389121,54.9382796
78,688488715,,POINT (73.3758124 54.9866803),73.3758124,54.9866803
79,3907633423,,POINT (73.3401164 55.0278507),73.3401164,55.0278507
80,1103200539,,POINT (73.48350689999999 54.9127773),73.4835069,54.9127773
81,1088799694,,POINT (73.5183303 55.0248282),73.5183303,55.0248282
82,1056702758,,POINT (73.35589179999999 55.0252147),73.3558918,55.0252147
83,1488421160,,POINT (73.4812312 54.929251),73.4812312,54.929251
84,849314090,,POINT (73.4491719 54.9620183),73.4491719,54.9620183
85,1488421162,,POINT (73.4790529 54.9293069),73.4790529,54.9293069
86,410386732,,POINT (73.4958633 54.9204983),73.4958633,54.9204983
87,410386733,,POINT (73.49541840000001 54.9219815),73.4954184,54.9219815
88,410386734,,POINT (73.4949178 54.9235182),73.4949178,54.9235182
89,410386736,,POINT (73.4941772 54.9260001),73.4941772,54.9260001
90,3261169972,,POINT (73.37844370000001 54.9111774),73.3784437,54.9111774
91,1457488182,,POINT (73.2830232 54.9555442),73.2830232,54.9555442
92,1103200577,,POINT (73.48596379999999 54.916029),73.4859638,54.916029
93,452952390,,POINT (73.4447802 54.919767),73.4447802,54.919767
94,452952394,,POINT (73.4441477 54.9193092),73.4441477,54.9193092
95,3745022284,,POINT (73.4256816 54.9926047),73.4256816,54.9926047
96,1056702797,,POINT (73.3627968 55.0260345),73.3627968,55.0260345
97,1013023060,,POINT (73.33180040000001 54.9872935),73.3318004,54.9872935
98,929841497,,POINT (73.4202128 54.9440521),73.4202128,54.9440521
99,210321760,,POINT (73.349446 54.9624586),73.349446,54.9624586
100,846217568,,POINT (73.4621302 54.8510527),73.4621302,54.8510527
101,1013023074,,POINT (73.426706 54.9495766),73.426706,54.9495766
102,410386789,,POINT (73.4972264 54.9188486),73.4972264,54.9188486
103,410386790,,POINT (73.4967207 54.9205601),73.4967207,54.9205601
104,353861991,,POINT (73.3650277 54.9191964),73.3650277,54.9191964
105,410386792,,POINT (73.4958719 54.9235701),73.4958719,54.9235701
106,353861993,,POINT (73.3630033 54.9170456),73.3630033,54.9170456
107,410386794,,POINT (73.4951265 54.9260779),73.4951265,54.9260779
108,410386791,,POINT (73.49626929999999 54.9220896),73.4962693,54.9220896
109,1072939373,,POINT (73.32490009999999 55.0299034),73.3249001,55.0299034
110,789299565,,POINT (73.34266409999999 54.9405627),73.3426641,54.9405627
111,1072939375,,POINT (73.32283390000001 55.028494),73.3228339,55.028494
112,789299568,,POINT (73.3489721 54.944486),73.3489721,54.944486
113,2131788145,,POINT (73.36858119999999 54.9912249),73.3685812,54.9912249
114,353862002,,POINT (73.3555195 54.9070181),73.3555195,54.9070181
115,353862003,,POINT (73.355035 54.9059635),73.355035,54.9059635
116,353862004,,POINT (73.3537355 54.9031126),73.3537355,54.9031126
117,353862005,,POINT (73.3522179 54.899625),73.3522179,54.899625
118,789299576,,POINT (73.3395439 54.9376396),73.3395439,54.9376396
119,1103200633,,POINT (73.4872678 54.9128449),73.4872678,54.9128449
120,6104875387,,POINT (73.3914372 54.8414699),73.3914372,54.8414699
121,6104875389,,POINT (73.3906076 54.8399667),73.3906076,54.8399667
122,929841535,,POINT (73.45582469999999 54.9168028),73.4558247,54.9168028
