,nodes,building,geometry,addr:housenumber,addr:street,building:levels,id,start_date,addr:postcode,building:material,source,addr:city,name,addr:place,roof:shape,roof:material,building:colour,height,roof:height,wheelchair,level,roof:colour,building:facade:material,loc_name,addr:suburb,building:year_built,postal_code,addr:flats,building:parts,construction,members,type,amenity,ref,opening_hours,capacity:bed,emergency,health_specialty:emergency_medicine,provided_for:adult,healthcare,healthcare:speciality,lon,lat
6326,"[3806547511, 3806547503, 3806547504, 4008797521, 4008797525, 3806547512, 3806547511]",apartments,POINT (73.44889140023382 55.04247214441681),25 к3,улица Стороженко,10,377282068,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.44889140023382,55.04247214441681
6327,"[3806547486, 4008797514, 4008797515, 4008797516, 3806547487, 3806547479, 3806547478, 3806547486]",apartments,POINT (73.4547709 55.03941460000001),9 к23,улица Завертяева,10,377282070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.4547709,55.03941460000001
6328,"[3806547515, 3806547507, 3806547508, 4008797524, 4008797527, 3806547516, 3806547515]",apartments,POINT (73.45055851455719 55.04261953625802),25 к7,улица Стороженко,10,377282074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.45055851455719,55.04261953625802
6329,"[3806547509, 4008797523, 4008797520, 3806547501, 3806547502, 3806547510, 3806547509]",apartments,POINT (73.44804313188853 55.04242152991563),25 к1,улица Стороженко,10,377282076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.44804313188853,55.04242152991563
6330,"[3806547490, 3806547491, 3806547484, 4361189935, 4361189936, 3806547485, 3806547477, 3806547476, 3806547490]",apartments,POINT (73.45329618794381 55.03942099568566),9 к21,улица Завертяева,10,377282077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.4532961879438,55.03942099568566
6331,"[3806547480, 4008797509, 4008797510, 3806547481, 3806547488, 3806547489, 3806547473, 3806547472, 3806547480]",apartments,POINT (73.45122517943912 55.03941805082709),9 к19,улица Завертяева,10,377282079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.45122517943912,55.039418050827095
6332,"[3808180423, 3808180420, 3808180421, 3809537225, 3809537224, 3809537222, 3809537223, 3809537221, 3809537220, 3809537217, 3809537218, 3809537216, 3808180407, 3808180406, 3808180403, 3808180405, 3808180409, 3808180408, 6466072877, 3809537219, 6466072876, 6466072875, 6466072874, 3808180424, 3808180425, 6466072883, 3808180429, 6466072882, 3808180423]",apartments,POINT (73.33464166647354 54.98551343520001),28,3-я Енисейская улица,16,377448305,2018-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.33464166647354,54.985513435200005
6333,"[3808223408, 3808223409, 6207172178, 6207172177, 3808223407, 3808223406, 3808223408]",apartments,POINT (73.33488654175153 55.00917594420224),143 к5,улица Красный Путь,17,377451719,,644033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.33488654175153,55.00917594420224
6334,"[3808223375, 6547515063, 6547515064, 6547515065, 3808223366, 3808223365, 3808223374, 3808223375]",apartments,POINT (73.3473258397872 55.00307421233273),103,улица Красный Путь,13,377451725,,644033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.3473258397872,55.00307421233273
6335,"[3808223393, 6547515059, 6547515060, 6547515061, 3808223379, 3808223376, 3808223391, 3808223393]",apartments,POINT (73.34659402371997 55.0036843111483),105,улица Красный Путь,13,377451726,,644033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.34659402371997,55.0036843111483
